country,upwork_registration_status,upwork_freelancer_count,technology_proxy_respondents,proxy_respondents_using_at_least_one_tracked_stack,most_frequent_stacks,least_or_unused_stacks,data_quality_note,JavaScript/TypeScript_proxy_count,Python_proxy_count,PHP_proxy_count,Java_proxy_count,React_proxy_count,Node.js_proxy_count,WordPress_proxy_count,.NET/C#_proxy_count,Ruby/Rails_proxy_count,Go_proxy_count,Swift_proxy_count,Kotlin_proxy_count,Flutter_proxy_count,Data science/ML_proxy_count,DevOps/cloud_proxy_count
Azerbaijan,Inferred in scope; verify at registration,Not publicly disclosed,27,25,DevOps/cloud (20); JavaScript/TypeScript (17); Python (14),Unused in sample: Flutter,Proxy—very low sample; not an Upwork headcount,17,14,4,10,11,7,4,8,1,5,3,2,0,6,20
Bahamas,Inferred in scope; verify at registration,Not publicly disclosed,4,3,.NET/C# (2); DevOps/cloud (2); JavaScript/TypeScript (2),"Unused in sample: PHP, React, WordPress, Ruby/Rails, Go (+3 more)",Proxy—very low sample; not an Upwork headcount,2,2,0,1,0,1,0,2,0,0,0,0,0,1,2
Bahrain,Inferred in scope; verify at registration,Not publicly disclosed,11,11,JavaScript/TypeScript (10); .NET/C# (7); Java (7),"Lowest observed: Flutter (1), Kotlin (1), Ruby/Rails (1)",Proxy—very low sample; not an Upwork headcount,10,4,3,7,4,4,1,7,1,2,1,1,1,3,6
Bangladesh,Inferred in scope; verify at registration,Not publicly disclosed,327,314,DevOps/cloud (266); JavaScript/TypeScript (257); React (160),"Lowest observed: Ruby/Rails (6), Swift (10), Go (32)",Proxy—medium sample; not an Upwork headcount,257,144,99,98,160,144,60,68,6,32,10,33,47,75,266
Barbados,Inferred in scope; verify at registration,Not publicly disclosed,6,6,DevOps/cloud (6); .NET/C# (3); Data science/ML (2),"Unused in sample: Java, React, Node.js, WordPress, Ruby/Rails (+4 more)",Proxy—very low sample; not an Upwork headcount,2,1,2,0,0,0,0,3,0,0,0,0,0,2,6
Belgium,Inferred in scope; verify at registration,Not publicly disclosed,526,510,DevOps/cloud (422); JavaScript/TypeScript (360); Python (277),"Lowest observed: Ruby/Rails (23), Swift (23), Flutter (32)",Proxy—medium sample; not an Upwork headcount,360,277,98,188,131,168,42,194,23,60,23,50,32,161,422
Belize,Inferred in scope; verify at registration,Not publicly disclosed,2,2,Data science/ML (2); DevOps/cloud (2); Java (2),"Unused in sample: PHP, WordPress, Ruby/Rails, Go, Swift",Proxy—very low sample; not an Upwork headcount,1,2,0,2,1,2,0,1,0,0,0,1,1,2,2
Benin,Inferred in scope; verify at registration,Not publicly disclosed,11,10,JavaScript/TypeScript (9); DevOps/cloud (8); PHP (6),"Unused in sample: Ruby/Rails, Go, Swift",Proxy—very low sample; not an Upwork headcount,9,2,6,3,5,5,3,2,0,0,0,2,1,2,8
Bhutan,Inferred in scope; verify at registration,Not publicly disclosed,3,3,DevOps/cloud (3); JavaScript/TypeScript (3); Node.js (3),"Unused in sample: Go, Swift, Kotlin",Proxy—very low sample; not an Upwork headcount,3,2,1,1,2,3,1,1,1,0,0,0,1,1,3
Bolivia,Inferred in scope; verify at registration,Not publicly disclosed,32,31,DevOps/cloud (27); JavaScript/TypeScript (26); .NET/C# (16),"Lowest observed: Swift (1), Ruby/Rails (2), Kotlin (3)",Proxy—very low sample; not an Upwork headcount,26,11,9,7,13,16,5,16,2,4,1,3,6,6,27
Bosnia and Herzegovina,Inferred in scope; verify at registration,Not publicly disclosed,62,59,DevOps/cloud (53); JavaScript/TypeScript (48); React (23),"Lowest observed: Ruby/Rails (2), Swift (2), Kotlin (5)",Proxy—low sample; not an Upwork headcount,48,22,17,13,23,20,5,22,2,14,2,5,7,10,53
Botswana,Inferred in scope; verify at registration,Not publicly disclosed,5,5,JavaScript/TypeScript (4); DevOps/cloud (3); Java (3),"Unused in sample: WordPress, Ruby/Rails, Go, Swift, Kotlin (+1 more)",Proxy—very low sample; not an Upwork headcount,4,1,1,3,1,1,0,2,0,0,0,0,0,1,3
Brazil,Inferred in scope; verify at registration,Not publicly disclosed,1375,1324,DevOps/cloud (1135); JavaScript/TypeScript (986); Python (642),"Lowest observed: Swift (42), Ruby/Rails (116), WordPress (136)",Proxy—medium sample; not an Upwork headcount,986,642,290,423,495,541,136,379,116,183,42,138,148,376,1135
Brunei Darussalam,Inferred in scope; verify at registration,Not publicly disclosed,3,3,DevOps/cloud (3); JavaScript/TypeScript (3); Python (2),"Unused in sample: Java, Ruby/Rails, Go, Swift, Kotlin (+1 more)",Proxy—very low sample; not an Upwork headcount,3,2,1,0,1,1,1,1,0,0,0,0,0,1,3
Bulgaria,Inferred in scope; verify at registration,Not publicly disclosed,319,307,DevOps/cloud (245); JavaScript/TypeScript (221); Python (112),"Lowest observed: Swift (15), Flutter (16), Ruby/Rails (17)",Proxy—medium sample; not an Upwork headcount,221,112,72,90,99,101,39,101,17,36,15,28,16,60,245
Burkina Faso,Inferred in scope; verify at registration,Not publicly disclosed,4,4,DevOps/cloud (4); JavaScript/TypeScript (4); PHP (3),"Unused in sample: Python, .NET/C#, Ruby/Rails, Go, Swift (+2 more)",Proxy—very low sample; not an Upwork headcount,4,0,3,2,2,2,1,0,0,0,0,0,1,0,4
Burundi,Inferred in scope; verify at registration,Not publicly disclosed,3,3,DevOps/cloud (3); JavaScript/TypeScript (2); WordPress (2),"Unused in sample: React, Ruby/Rails, Go, Swift, Kotlin (+2 more)",Proxy—very low sample; not an Upwork headcount,2,1,1,1,0,1,2,1,0,0,0,0,0,0,3
Cabo Verde,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,Inferred in scope; verify at registration,Not publicly disclosed,22,22,JavaScript/TypeScript (21); DevOps/cloud (19); Node.js (15),Unused in sample: Ruby/Rails,Proxy—very low sample; not an Upwork headcount,21,9,11,12,10,15,2,8,0,4,1,4,6,3,19
Cameroon,Inferred in scope; verify at registration,Not publicly disclosed,31,29,DevOps/cloud (23); JavaScript/TypeScript (23); Python (14),"Lowest observed: Ruby/Rails (2), Kotlin (3), Swift (3)",Proxy—very low sample; not an Upwork headcount,23,14,11,12,12,12,10,4,2,5,3,3,7,9,23
Canada,Inferred in scope; verify at registration,Not publicly disclosed,2104,2017,DevOps/cloud (1631); JavaScript/TypeScript (1421); Python (1118),"Lowest observed: Swift (92), Flutter (116), Kotlin (141)",Proxy—medium sample; not an Upwork headcount,1421,1118,324,571,680,704,185,669,183,308,92,141,116,562,1631
Central African Republic,Inferred in scope; verify at registration,Not publicly disclosed,1,1,.NET/C# (1); DevOps/cloud (1); Python (1),"Unused in sample: JavaScript/TypeScript, PHP, Java, React, Node.js (+6 more)",Proxy—very low sample; not an Upwork headcount,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Chad,Inferred in scope; verify at registration,Not publicly disclosed,1,1,Python (1); .NET/C# (0); Data science/ML (0),"Unused in sample: JavaScript/TypeScript, PHP, Java, React, Node.js (+9 more)",Proxy—very low sample; not an Upwork headcount,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Inferred in scope; verify at registration,Not publicly disclosed,133,130,DevOps/cloud (107); JavaScript/TypeScript (92); Python (76),"Lowest observed: Swift (5), Flutter (9), Kotlin (9)",Proxy—low sample; not an Upwork headcount,92,76,21,31,54,57,16,38,14,18,5,9,9,36,107
China,Inferred in scope; verify at registration,Not publicly disclosed,406,390,DevOps/cloud (304); Python (233); JavaScript/TypeScript (232),"Lowest observed: Ruby/Rails (11), Swift (20), WordPress (28)",Proxy—medium sample; not an Upwork headcount,232,233,29,157,96,144,28,100,11,90,20,50,37,150,304
Colombia,Inferred in scope; verify at registration,Not publicly disclosed,217,206,DevOps/cloud (182); JavaScript/TypeScript (155); Python (103),"Lowest observed: Swift (3), Ruby/Rails (12), Flutter (18)",Proxy—medium sample; not an Upwork headcount,155,103,43,71,84,85,23,54,12,29,3,22,18,54,182
Comoros,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Inferred in scope; verify at registration,Not publicly disclosed,54,53,DevOps/cloud (49); JavaScript/TypeScript (41); Python (23),"Lowest observed: Swift (1), Ruby/Rails (2), Kotlin (3)",Proxy—low sample; not an Upwork headcount,41,23,10,14,16,16,9,15,2,5,1,3,5,13,49
Croatia,Inferred in scope; verify at registration,Not publicly disclosed,187,178,DevOps/cloud (144); JavaScript/TypeScript (121); Python (86),"Lowest observed: Swift (4), Ruby/Rails (6), Flutter (10)",Proxy—low sample; not an Upwork headcount,121,86,30,57,52,54,15,60,6,23,4,21,10,38,144
Cyprus,Inferred in scope; verify at registration,Not publicly disclosed,63,62,DevOps/cloud (53); JavaScript/TypeScript (39); Python (33),"Lowest observed: Ruby/Rails (3), Flutter (7), Kotlin (7)",Proxy—low sample; not an Upwork headcount,39,33,14,12,22,20,7,14,3,14,7,7,7,12,53
Czech Republic,Inferred in scope; verify at registration,Not publicly disclosed,714,696,DevOps/cloud (544); JavaScript/TypeScript (455); Python (332),"Lowest observed: Swift (21), Ruby/Rails (26), Flutter (30)",Proxy—medium sample; not an Upwork headcount,455,332,156,196,194,210,75,269,26,67,21,84,30,172,544
Côte d’Ivoire,Inferred in scope; verify at registration,Not publicly disclosed,14,14,JavaScript/TypeScript (12); DevOps/cloud (11); PHP (9),"Unused in sample: Ruby/Rails, Go, Swift",Proxy—very low sample; not an Upwork headcount,12,4,9,4,5,8,3,4,0,0,0,1,5,1,11
Democratic Republic of the Congo,Inferred in scope; verify at registration,Not publicly disclosed,3,3,DevOps/cloud (3); JavaScript/TypeScript (3); .NET/C# (2),"Unused in sample: Java, Ruby/Rails, Go, Swift, Kotlin (+1 more)",Proxy—very low sample; not an Upwork headcount,3,2,1,0,1,1,1,2,0,0,0,0,0,1,3
Denmark,Inferred in scope; verify at registration,Not publicly disclosed,504,488,DevOps/cloud (411); JavaScript/TypeScript (307); Python (241),"Lowest observed: Swift (18), Ruby/Rails (21), WordPress (31)",Proxy—medium sample; not an Upwork headcount,307,241,77,106,121,135,31,230,21,67,18,43,39,131,411
Djibouti,Inferred in scope; verify at registration,Not publicly disclosed,1,1,.NET/C# (1); DevOps/cloud (1); Data science/ML (0),"Unused in sample: JavaScript/TypeScript, Python, PHP, Java, React (+8 more)",Proxy—very low sample; not an Upwork headcount,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Dominica,Inferred in scope; verify at registration,Not publicly disclosed,1,1,Data science/ML (1); Python (1); .NET/C# (0),"Unused in sample: JavaScript/TypeScript, PHP, Java, React, Node.js (+8 more)",Proxy—very low sample; not an Upwork headcount,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Dominican Republic,Inferred in scope; verify at registration,Not publicly disclosed,47,46,JavaScript/TypeScript (39); DevOps/cloud (37); React (25),"Lowest observed: Ruby/Rails (2), Swift (4), WordPress (5)",Proxy—very low sample; not an Upwork headcount,39,18,6,12,25,22,5,23,2,13,4,8,11,11,37
Ecuador,Inferred in scope; verify at registration,Not publicly disclosed,54,50,DevOps/cloud (41); JavaScript/TypeScript (37); Python (28),"Lowest observed: Ruby/Rails (2), Swift (3), Kotlin (6)",Proxy—low sample; not an Upwork headcount,37,28,15,20,19,27,8,17,2,7,3,6,8,24,41
Egypt,Inferred in scope; verify at registration,Not publicly disclosed,262,254,DevOps/cloud (196); JavaScript/TypeScript (187); Python (139),"Lowest observed: Ruby/Rails (11), Swift (16), Go (21)",Proxy—medium sample; not an Upwork headcount,187,139,46,60,89,99,22,79,11,21,16,27,38,69,196
El Salvador,Inferred in scope; verify at registration,Not publicly disclosed,19,19,DevOps/cloud (17); JavaScript/TypeScript (15); Python (12),"Unused in sample: Ruby/Rails, Swift, Kotlin",Proxy—very low sample; not an Upwork headcount,15,12,7,6,7,8,3,10,0,4,0,0,2,6,17
Equatorial Guinea,Inferred in scope; verify at registration,Not publicly disclosed,1,1,.NET/C# (1); Data science/ML (1); DevOps/cloud (1),"Unused in sample: JavaScript/TypeScript, Python, PHP, Java, React (+5 more)",Proxy—very low sample; not an Upwork headcount,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
Eritrea,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Inferred in scope; verify at registration,Not publicly disclosed,110,108,DevOps/cloud (85); JavaScript/TypeScript (80); Python (54),"Lowest observed: Flutter (6), Swift (6), Go (13)",Proxy—low sample; not an Upwork headcount,80,54,27,44,35,37,14,25,13,13,6,17,6,22,85
Eswatini,Inferred in scope; verify at registration,Not publicly disclosed,4,4,.NET/C# (3); DevOps/cloud (3); JavaScript/TypeScript (3),"Unused in sample: PHP, WordPress, Ruby/Rails, Go, Swift (+2 more)",Proxy—very low sample; not an Upwork headcount,3,2,0,1,2,1,0,3,0,0,0,0,0,1,3
Ethiopia,Inferred in scope; verify at registration,Not publicly disclosed,60,51,JavaScript/TypeScript (43); DevOps/cloud (40); Node.js (29),Unused in sample: Swift,Proxy—low sample; not an Upwork headcount,43,26,18,18,24,29,4,19,2,3,0,5,9,11,40
Fiji,Inferred in scope; verify at registration,Not publicly disclosed,4,4,DevOps/cloud (3); .NET/C# (2); JavaScript/TypeScript (2),"Unused in sample: Java, Ruby/Rails",Proxy—very low sample; not an Upwork headcount,2,2,1,0,1,1,1,2,0,1,1,1,1,1,3
Finland,Inferred in scope; verify at registration,Not publicly disclosed,386,376,DevOps/cloud (303); JavaScript/TypeScript (255); Python (206),"Lowest observed: Swift (9), Ruby/Rails (15), Flutter (20)",Proxy—medium sample; not an Upwork headcount,255,206,52,91,144,132,30,98,15,53,9,26,20,92,303
France,Inferred in scope; verify at registration,Not publicly disclosed,2110,2052,DevOps/cloud (1636); JavaScript/TypeScript (1410); Python (1186),"Lowest observed: Swift (77), Ruby/Rails (123), Flutter (157)",Proxy—medium sample; not an Upwork headcount,1410,1186,520,706,603,688,193,463,123,250,77,181,157,658,1636
Gabon,Inferred in scope; verify at registration,Not publicly disclosed,4,4,DevOps/cloud (2); Java (2); JavaScript/TypeScript (2),"Unused in sample: PHP, React, WordPress, Ruby/Rails, Go (+3 more)",Proxy—very low sample; not an Upwork headcount,2,2,0,2,0,2,0,1,0,0,0,0,0,1,2
Gambia,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Inferred in scope; verify at registration,Not publicly disclosed,94,93,DevOps/cloud (80); JavaScript/TypeScript (56); Python (44),"Lowest observed: Flutter (3), WordPress (3), Kotlin (7)",Proxy—low sample; not an Upwork headcount,56,44,12,21,28,23,3,22,7,21,7,7,3,22,80
Germany,Inferred in scope; verify at registration,Not publicly disclosed,4947,4800,DevOps/cloud (3710); JavaScript/TypeScript (3057); Python (2640),"Lowest observed: Ruby/Rails (240), Swift (256), Flutter (330)",Proxy—medium sample; not an Upwork headcount,3057,2640,913,1818,1134,1431,433,1287,240,732,256,583,330,1476,3710
Ghana,Inferred in scope; verify at registration,Not publicly disclosed,70,66,DevOps/cloud (56); JavaScript/TypeScript (51); Python (34),Unused in sample: Ruby/Rails,Proxy—low sample; not an Upwork headcount,51,34,17,23,31,29,11,14,0,8,2,4,16,25,56
Greece,Inferred in scope; verify at registration,Not publicly disclosed,389,375,DevOps/cloud (302); JavaScript/TypeScript (249); Python (180),"Lowest observed: Swift (8), Flutter (19), Ruby/Rails (22)",Proxy—medium sample; not an Upwork headcount,249,180,76,123,109,120,63,99,22,36,8,27,19,110,302
Grenada,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,Inferred in scope; verify at registration,Not publicly disclosed,41,41,DevOps/cloud (35); JavaScript/TypeScript (31); .NET/C# (22),"Lowest observed: Swift (2), Kotlin (3), Ruby/Rails (3)",Proxy—very low sample; not an Upwork headcount,31,22,16,13,11,14,9,22,3,6,2,3,5,7,35
Guinea,Inferred in scope; verify at registration,Not publicly disclosed,1,1,DevOps/cloud (1); Java (1); JavaScript/TypeScript (1),"Unused in sample: Python, Node.js, WordPress, .NET/C#, Ruby/Rails (+5 more)",Proxy—very low sample; not an Upwork headcount,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
Guinea-Bissau,Inferred in scope; verify at registration,Not publicly disclosed,2,1,JavaScript/TypeScript (1); PHP (1); .NET/C# (0),"Unused in sample: Python, Java, React, Node.js, WordPress (+8 more)",Proxy—very low sample; not an Upwork headcount,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,Inferred in scope; verify at registration,Not publicly disclosed,3,3,DevOps/cloud (3); JavaScript/TypeScript (3); .NET/C# (2),"Unused in sample: PHP, WordPress, Ruby/Rails, Go, Swift (+1 more)",Proxy—very low sample; not an Upwork headcount,3,2,0,1,1,1,0,2,0,0,0,0,1,2,3
Haiti,Inferred in scope; verify at registration,Not publicly disclosed,1,1,.NET/C# (1); DevOps/cloud (1); JavaScript/TypeScript (1),"Unused in sample: Python, PHP, Java, WordPress, Ruby/Rails (+5 more)",Proxy—very low sample; not an Upwork headcount,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
Holy See,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,Inferred in scope; verify at registration,Not publicly disclosed,16,15,DevOps/cloud (15); JavaScript/TypeScript (13); Node.js (8),"Unused in sample: WordPress, Kotlin",Proxy—very low sample; not an Upwork headcount,13,6,5,6,7,8,0,6,2,3,2,0,2,5,15
Hungary,Inferred in scope; verify at registration,Not publicly disclosed,396,379,DevOps/cloud (284); JavaScript/TypeScript (271); Python (193),"Lowest observed: Ruby/Rails (11), Swift (16), WordPress (27)",Proxy—medium sample; not an Upwork headcount,271,193,86,130,119,128,27,155,11,53,16,41,34,98,284
Iceland,Inferred in scope; verify at registration,Not publicly disclosed,31,29,DevOps/cloud (26); JavaScript/TypeScript (23); Python (18),Unused in sample: Swift,Proxy—very low sample; not an Upwork headcount,23,18,5,6,10,11,7,14,3,9,0,1,3,9,26
India,Inferred in scope; verify at registration,Not publicly disclosed,4231,4022,DevOps/cloud (3237); JavaScript/TypeScript (2823); Python (2128),"Lowest observed: Swift (141), Ruby/Rails (146), Kotlin (377)",Proxy—medium sample; not an Upwork headcount,2823,2128,722,1549,1710,1704,389,814,146,448,141,377,510,1344,3237
Indonesia,Inferred in scope; verify at registration,Not publicly disclosed,354,344,DevOps/cloud (299); JavaScript/TypeScript (272); PHP (173),"Lowest observed: Swift (13), Ruby/Rails (20), Kotlin (57)",Proxy—medium sample; not an Upwork headcount,272,173,173,122,140,154,68,108,20,97,13,57,85,115,299
Iraq,Inferred in scope; verify at registration,Not publicly disclosed,44,42,DevOps/cloud (31); JavaScript/TypeScript (31); Node.js (17),Unused in sample: Ruby/Rails,Proxy—very low sample; not an Upwork headcount,31,16,10,7,15,17,4,13,0,5,2,2,12,9,31
Ireland,Inferred in scope; verify at registration,Not publicly disclosed,270,265,DevOps/cloud (228); JavaScript/TypeScript (180); Python (147),"Lowest observed: Flutter (13), Swift (15), Ruby/Rails (21)",Proxy—medium sample; not an Upwork headcount,180,147,31,92,94,78,29,88,21,38,15,26,13,78,228
Israel,Inferred in scope; verify at registration,Not publicly disclosed,604,582,DevOps/cloud (481); Python (360); JavaScript/TypeScript (359),"Lowest observed: Swift (16), Ruby/Rails (26), Flutter (28)",Proxy—medium sample; not an Upwork headcount,359,360,58,163,206,211,39,165,26,79,16,50,28,191,481
Italy,Inferred in scope; verify at registration,Not publicly disclosed,1341,1293,DevOps/cloud (1030); JavaScript/TypeScript (900); Python (698),"Lowest observed: Swift (58), Ruby/Rails (66), Kotlin (114)",Proxy—medium sample; not an Upwork headcount,900,698,386,519,386,456,196,442,66,156,58,114,131,377,1030
Jamaica,Inferred in scope; verify at registration,Not publicly disclosed,11,11,JavaScript/TypeScript (11); DevOps/cloud (8); .NET/C# (5),"Unused in sample: Swift, Data science/ML",Proxy—very low sample; not an Upwork headcount,11,5,5,3,3,4,1,5,1,2,0,2,3,0,8
Japan,Inferred in scope; verify at registration,Not publicly disclosed,288,282,DevOps/cloud (249); JavaScript/TypeScript (192); Python (167),"Lowest observed: WordPress (22), Flutter (23), Swift (25)",Proxy—medium sample; not an Upwork headcount,192,167,53,67,109,102,22,73,36,47,25,26,23,106,249
Jordan,Inferred in scope; verify at registration,Not publicly disclosed,40,40,DevOps/cloud (34); JavaScript/TypeScript (28); Python (16),"Lowest observed: Swift (2), Go (3), Ruby/Rails (3)",Proxy—very low sample; not an Upwork headcount,28,16,12,13,16,14,5,15,3,3,2,4,8,7,34
Kazakhstan,Inferred in scope; verify at registration,Not publicly disclosed,81,78,DevOps/cloud (66); JavaScript/TypeScript (42); Python (30),"Lowest observed: Ruby/Rails (3), WordPress (3), Flutter (4)",Proxy—low sample; not an Upwork headcount,42,30,13,22,20,18,3,20,3,12,6,8,4,16,66
Kenya,Inferred in scope; verify at registration,Not publicly disclosed,180,175,DevOps/cloud (158); JavaScript/TypeScript (137); Python (105),"Lowest observed: Swift (6), Ruby/Rails (15), Kotlin (23)",Proxy—low sample; not an Upwork headcount,137,105,49,54,76,83,26,41,15,29,6,23,28,54,158
Kiribati,Inferred in scope; verify at registration,Not publicly disclosed,0,0,No country observations in proxy,All tracked stacks unobserved in proxy,No proxy observations; not an Upwork headcount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,Inferred in scope; verify at registration,Not publicly disclosed,18,18,DevOps/cloud (15); JavaScript/TypeScript (15); Node.js (11),"Unused in sample: Go, Swift",Proxy—very low sample; not an Upwork headcount,15,8,5,10,10,11,5,8,2,0,0,4,1,5,15
Kuwait,Inferred in scope; verify at registration,Not publicly disclosed,8,7,Python (5); DevOps/cloud (4); JavaScript/TypeScript (4),"Unused in sample: PHP, WordPress, Go, Data science/ML",Proxy—very low sample; not an Upwork headcount,4,5,0,1,2,2,0,1,1,0,1,1,2,0,4
Kyrgyzstan,Inferred in scope; verify at registration,Not publicly disclosed,44,42,DevOps/cloud (30); JavaScript/TypeScript (24); Python (22),"Lowest observed: Swift (2), WordPress (2), Flutter (3)",Proxy—very low sample; not an Upwork headcount,24,22,3,14,14,12,2,6,3,4,2,4,3,8,30
Laos,Inferred in scope; verify at registration,Not publicly disclosed,4,3,DevOps/cloud (3); JavaScript/TypeScript (3); Node.js (2),"Unused in sample: Python, .NET/C#, Ruby/Rails, Go, Swift (+2 more)",Proxy—very low sample; not an Upwork headcount,3,0,1,1,2,2,1,0,0,0,0,0,1,0,3
Latvia,Inferred in scope; verify at registration,Not publicly disclosed,128,125,DevOps/cloud (108); JavaScript/TypeScript (87); Python (60),"Lowest observed: Swift (6), WordPress (6), Ruby/Rails (7)",Proxy—low sample; not an Upwork headcount,87,60,30,34,37,26,6,40,7,18,6,13,9,35,108
Lebanon,Inferred in scope; verify at registration,Not publicly disclosed,46,45,DevOps/cloud (35); JavaScript/TypeScript (35); Python (22),"Lowest observed: Ruby/Rails (3), Go (4), Swift (5)",Proxy—very low sample; not an Upwork headcount,35,22,18,19,16,18,11,18,3,4,5,6,12,12,35
Lesotho,Inferred in scope; verify at registration,Not publicly disclosed,1,1,Flutter (1); Java (1); JavaScript/TypeScript (1),"Unused in sample: PHP, React, Node.js, WordPress, .NET/C# (+6 more)",Proxy—very low sample; not an Upwork headcount,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Liberia,Inferred in scope; verify at registration,Not publicly disclosed,4,4,DevOps/cloud (3); Python (3); JavaScript/TypeScript (2),"Unused in sample: Java, WordPress, .NET/C#, Ruby/Rails, Go (+1 more)",Proxy—very low sample; not an Upwork headcount,2,3,1,0,1,2,0,0,0,0,0,1,1,1,3
